,deaths,energy_used,kills,missiles_fired,points,run,status,tank,team,,Confidence Value,,0.95,,,,,,,,,
369,2,320,8,56,53,8,winner,red,1,,,,,,,,,,,,,
370,7,240,5,27,9,8,loser,yellow,0,,,,,,,,,,,,,
371,8,120,3,11,-17,8,loser,green,1,,,,,,,,,,,,,
372,8,680,10,68,51,7,winner,blue,0,,,,,,,,,,,,,
373,8,400,6,53,21,7,loser,red,1,,,,,,,,,,,,,
374,8,440,6,60,30,7,loser,yellow,0,,,,,,,,,,,,,
375,8,420,10,65,46,7,loser,green,1,,,,,,,,,,,,,
376,6,20,6,28,18,6,loser,blue,0,,,,,,,,,,,,,
377,2,380,5,44,50,6,winner,red,1,,,,,,,,,,,,,
378,6,260,2,15,-9,6,loser,yellow,0,,,,,,,,,,,,,
379,8,420,10,69,39,6,loser,green,1,,,,,,,,,,,,,
380,6,280,2,32,3,5,loser,blue,0,,,,,,,,,,,,,
381,0,80,7,45,53,5,winner,red,1,,,,,,,,,,,,,
382,3,0,2,9,5,5,loser,yellow,0,,,,,,,,,,,,,
